time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
828,1417,0.23760000000000014,1000.0,2.59,828000,584,0.0014018602669239044,0.0001,194499
832,1416,0.2344000000000005,1000.0,2.53,832000,587,0.0003265909035690129,0.0001,195499
836,1415,0.23119999999999996,1000.0,2.48,836000,590,0.00011299282778054476,0.0001,196499
840,1414,0.22800000000000042,1000.0,2.59,840000,593,1.7100437617045827e-05,0.0001,197499
844,1413,0.22479999999999978,1000.0,2.7,844000,597,0.007865255698561668,0.0001,198499
848,1412,0.22160000000000013,1000.0,2.99,848000,600,0.0001545510458527133,0.0001,199499
852,1411,0.21840000000000048,1000.0,3.04,852000,603,0.007389374077320099,0.0001,200499
856,1409,0.21519999999999995,1000.0,2.9,856000,607,0.00037128565600141883,0.0001,201499
860,1408,0.2120000000000003,1000.0,2.84,860000,610,8.185186015907675e-05,0.0001,202499
864,1407,0.20879999999999976,1000.0,2.9,864000,613,3.204030872439034e-05,0.0001,203499
868,1406,0.20560000000000023,1000.0,3.13,868000,617,0.0005816235789097846,0.0001,204499
872,1405,0.20240000000000047,1000.0,3.15,872000,620,0.0003257312346249819,0.0001,205499
876,1404,0.19919999999999993,1000.0,3.21,876000,623,5.11683538206853e-05,0.0001,206499
880,1403,0.19600000000000029,1000.0,3.52,880000,627,0.00011030460882466286,0.0001,207499
884,1402,0.19279999999999975,1000.0,3.62,884000,630,0.0044856867752969265,0.0001,208499
888,1401,0.1896000000000001,1000.0,3.62,888000,633,9.071524254977703e-05,0.0001,209499
892,1400,0.18640000000000045,1000.0,3.74,892000,637,0.0016525950049981475,0.0001,210499
896,1399,0.18320000000000003,1000.0,3.74,896000,640,0.0028044614009559155,0.0001,211499
900,1397,0.18000000000000027,1000.0,3.62,900000,643,0.00011240787716815248,0.0001,212499
904,1397,0.17679999999999974,1000.0,3.56,904000,647,9.490946104051545e-05,0.0001,213499
908,1395,0.1736000000000001,1000.0,3.7,908000,650,8.293750579468906e-05,0.0001,214499
912,1394,0.17040000000000055,1000.0,3.52,912000,653,0.00014670041855424643,0.0001,215499
916,1393,0.1671999999999999,1000.0,3.0,916000,657,0.00011693978012772277,0.0001,216499
920,1392,0.16400000000000026,1000.0,2.83,920000,660,5.5744676501490176e-05,0.0001,217499
924,1391,0.16079999999999983,1000.0,2.68,924000,664,9.022298036143184e-05,0.0001,218499
928,1390,0.15760000000000007,1000.0,2.65,928000,667,0.00017247020150534809,0.0001,219499
932,1389,0.15440000000000043,1000.0,2.65,932000,670,9.2928676167503e-06,0.0001,220499
936,1388,0.1511999999999999,1000.0,2.81,936000,674,0.007447719573974609,0.0001,221499
940,1387,0.14800000000000013,1000.0,2.7,940000,677,8.967470785137266e-05,0.0001,222499
944,1386,0.1447999999999997,1000.0,2.52,944000,680,9.802896238397807e-05,0.0001,223499
948,1385,0.14160000000000006,1000.0,2.27,948000,684,7.527507113991305e-05,0.0001,224499
952,1384,0.1384000000000004,1000.0,2.14,952000,687,0.00013194052735343575,0.0001,225499
956,1383,0.13519999999999988,1000.0,2.04,956000,690,5.486333247972652e-05,0.0001,226499
960,1382,0.13200000000000023,1000.0,2.0,960000,694,0.0011237526778131723,0.0001,227499
964,1381,0.1287999999999997,1000.0,1.94,964000,697,8.490418986184523e-05,0.0001,228499
968,1380,0.12559999999999993,1000.0,1.63,968000,701,0.0017858464270830154,0.0001,229499
972,1379,0.1224000000000004,1000.0,1.61,972000,704,2.7200741897104308e-05,0.0001,230499
976,1378,0.11919999999999986,1000.0,1.54,976000,707,5.220106686465442e-05,0.0001,231499
980,1377,0.11600000000000021,1000.0,1.2,980000,711,9.953667176887393e-05,0.0001,232499
984,1376,0.11279999999999968,1000.0,1.05,984000,714,1.73531734617427e-05,0.0001,233499
988,1375,0.10960000000000003,1000.0,1.05,988000,718,0.0016643176786601543,0.0001,234499
992,1374,0.10640000000000038,1000.0,1.13,992000,721,0.0028481120243668556,0.0001,235499
996,1373,0.10319999999999974,1000.0,1.25,996000,724,0.00011485557479318231,0.0001,236499
1000,1372,0.1000000000000002,1000.0,1.25,1000000,728,8.146800973918289e-05,0.0001,237499
1004,1371,0.1,1000.0,1.28,1004000,731,0.0021361971739679575,0.0001,238499
1008,1370,0.1,1000.0,1.2,1008000,735,4.7230460040736943e-05,0.0001,239499
1012,1369,0.1,1000.0,1.06,1012000,738,8.216238347813487e-05,0.0001,240499
1016,1368,0.1,1000.0,1.04,1016000,742,0.004020551219582558,0.0001,241499
1020,1367,0.1,1000.0,0.96,1020000,745,8.89963030203944e-06,0.0001,242499
1024,1367,0.1,1000.0,0.87,1024000,749,0.004177451133728027,0.0001,243499
1028,1366,0.1,1000.0,0.92,1028000,752,7.479809573851526e-05,0.0001,244499
1032,1365,0.1,1000.0,1.01,1032000,755,7.092902524163947e-05,0.0001,245499
1036,1364,0.1,1000.0,0.64,1036000,759,0.003215156262740493,0.0001,246499
1040,1363,0.1,1000.0,0.67,1040000,762,0.004222999792546034,0.0001,247499
1044,1362,0.1,1000.0,0.72,1044000,766,6.73602189635858e-05,0.0001,248499
1048,1361,0.1,1000.0,0.93,1048000,769,0.00014220064622350037,0.0001,249499
1052,1360,0.1,1000.0,0.93,1052000,773,0.00014591607032343745,0.0001,250499
1056,1359,0.1,1000.0,0.93,1056000,776,8.459293167106807e-05,0.0001,251499
1060,1359,0.1,1000.0,0.93,1060000,779,6.798994581913576e-05,0.0001,252499
1064,1358,0.1,1000.0,1.09,1064000,783,0.004016848746687174,0.0001,253499
1068,1357,0.1,1000.0,1.09,1068000,786,0.0001243257720489055,0.0001,254499
1072,1356,0.1,1000.0,1.09,1072000,790,0.002050502458587289,0.0001,255499
1076,1355,0.1,1000.0,1.09,1076000,793,1.2457994671422057e-05,0.0001,256499
1080,1355,0.1,1000.0,1.29,1080000,796,0.004483107477426529,0.0001,257499
1084,1354,0.1,1000.0,1.41,1084000,800,6.287311407504603e-05,0.0001,258499
1088,1353,0.1,1000.0,1.48,1088000,803,0.00010467290849192068,0.0001,259499
1092,1352,0.1,1000.0,1.28,1092000,807,0.00023755355505272746,0.0001,260499
1096,1352,0.1,1000.0,1.11,1096000,810,7.30733445379883e-05,0.0001,261499
1100,1351,0.1,1000.0,1.11,1100000,814,0.0006051689852029085,0.0001,262499
1104,1350,0.1,1000.0,1.35,1104000,817,0.0011744373477995396,0.0001,263499
1108,1349,0.1,1000.0,1.29,1108000,820,1.3357977877603844e-05,0.0001,264499
1112,1348,0.1,1000.0,1.29,1112000,824,8.194162546715233e-06,0.0001,265499
1116,1348,0.1,1000.0,1.29,1116000,827,1.8947253920487128e-05,0.0001,266499
1120,1347,0.1,1000.0,1.48,1120000,831,4.3864070903509855e-05,0.0001,267499
1124,1346,0.1,1000.0,1.5,1124000,834,6.156634481158108e-05,0.0001,268499
1128,1345,0.1,1000.0,1.78,1128000,838,4.230794729664922e-05,0.0001,269499
1132,1345,0.1,1000.0,1.81,1132000,841,0.003847944550216198,0.0001,270499
1136,1344,0.1,1000.0,2.02,1136000,844,0.005158026237040758,0.0001,271499
1140,1343,0.1,1000.0,2.18,1140000,848,0.0032749276142567396,0.0001,272499
1144,1342,0.1,1000.0,2.38,1144000,851,0.004160521551966667,0.0001,273499
1148,1342,0.1,1000.0,2.38,1148000,855,0.000136528629809618,0.0001,274499
1152,1341,0.1,1000.0,2.38,1152000,858,0.003918804693967104,0.0001,275499
1156,1340,0.1,1000.0,2.7,1156000,862,0.010777461342513561,0.0001,276499
1160,1339,0.1,1000.0,2.81,1160000,865,0.00432062242180109,0.0001,277499
1164,1339,0.1,1000.0,2.93,1164000,869,0.005134972743690014,0.0001,278499
1168,1338,0.1,1000.0,3.14,1168000,872,0.0059771547093987465,0.0001,279499
1172,1337,0.1,1000.0,3.46,1172000,875,0.0025231726467609406,0.0001,280499
1176,1337,0.1,1000.0,3.52,1176000,879,0.007966971956193447,0.0001,281499
1180,1336,0.1,1000.0,3.51,1180000,882,0.00012278769281692803,0.0001,282499
1184,1336,0.1,1000.0,3.65,1184000,886,9.969959501177073e-05,0.0001,283499
1188,1335,0.1,1000.0,3.58,1188000,889,0.000124023572425358,0.0001,284499
1192,1334,0.1,1000.0,3.73,1192000,892,0.0011109719052910805,0.0001,285499
1196,1334,0.1,1000.0,3.79,1196000,896,9.980433969758451e-05,0.0001,286499
